,0
366,194610
367,159922
368,261550
369,265634
370,258098
371,260133
372,257494
373,262910
374,259122
375,259604
376,257215
377,264705
378,262955
379,265874
380,263990
381,262740
382,264361
383,266683
384,242521
385,183341
386,300514
387,301958
388,293221
389,300279
390,298345
391,300653
392,284618
393,272042
394,282013
395,278133
396,265011
397,289409
398,287898
399,281596
400,291309
401,270665
402,291612
403,278525
404,286214
405,286968
406,282912
407,282988
408,279825
409,292290
410,270183
411,284831
412,280926
413,299626
414,288868
415,283026
416,303054
417,297437
418,239933
419,230092
420,227370
421,239921
422,238500
423,248521
424,236536
425,231864
426,253808
427,250960
428,252528
429,246969
430,250767
431,257462
432,257046
433,264714
434,197128
435,205693
436,204943
437,256552
438,258346
439,195378
440,193974
441,202138
442,198032
443,203275
444,200091
445,236718
446,220113
447,189847
448,234038
449,233915
450,203528
451,198662
452,219377
453,234745
454,212332
455,197390
456,151213
457,187514
458,296675
459,298776
460,289666
461,296946
462,294552
463,299065
464,300238
465,274212
466,304340
467,297013
468,285097
469,275005
470,205697
471,193165
472,194036
473,192571
474,196095
475,192311
476,161598
477,149881
478,151264
479,189260
480,156944
481,154498
482,266495
483,267057
484,266986
485,257801
486,267065
487,264474
488,270256
489,265680
490,266826
491,264693
492,275297
493,264394
494,271560
495,271846
496,257560
497,270359
498,267707
499,259809
500,258249
501,159533
502,129691
503,108560
504,142835
505,246325
506,153893
507,192142
508,188702
509,183842
510,201236
511,129425
512,136517
513,133852
514,129564
515,131901
516,205537
517,205772
518,216133
519,242160
520,218024
521,211800
522,208706
523,234376
524,192177
525,195389
526,186599
527,176647
528,213276
529,212680
530,187950
531,227860
532,201246
533,193538
534,192562
535,185181
536,137930
537,171795
538,194112
539,136579
540,189535
541,231598
542,210859
543,260379
544,280280
545,263698
546,274771
547,256707
548,264937
549,270923
550,279051
551,260719
552,263113
553,185425
554,207990
555,181537
556,195845
557,207267
558,220196
559,216157
560,236922
561,206573
562,203464
563,198432
564,186990
565,199489
566,172050
567,196980
568,174407
569,205227
570,243915
571,182233
572,214670
573,211055
574,190735
575,192973
576,240073
577,207335
578,235176
579,185513
580,184417
581,214404
582,211352
583,153099
584,164008
585,186693
586,219186
587,163035
588,174976
589,182422
590,195912
591,159222
592,171357
593,221858
594,201581
595,194392
596,173876
597,194823
598,218659
599,190298
600,207646
601,208910
602,191125
603,201015
604,150768
605,186088
606,206704
607,187486
608,182802
609,256592
610,207556
611,250398
612,207814
613,176438
614,186847
615,204904
616,202785
617,165897
618,181372
619,178695
620,168353
621,195904
622,214626
623,252670
624,253385
625,249869
626,201844
627,251651
628,270765
629,206265
630,253066
631,250554
632,247139
633,248388
634,245331
635,250949
636,251085
637,249102
638,254300
639,249773
640,247405
641,259492
642,255339
643,205558
644,194291
645,255592
646,252139
647,186220
648,191441
649,190839
650,143817
651,253578
652,202783
653,195889
654,262636
655,225834
656,211381
657,210172
658,231423
659,192668
660,197429
661,241978
662,194468
663,243052
664,224205
665,260507
666,211757
667,202862
668,201203
669,194889
670,189667
671,210752
672,207342
673,188126
674,196003
675,194297
676,199402
677,193076
678,177929
679,196470
680,193597
681,189537
682,194415
683,188263
684,199082
685,198302
686,195094
687,196419
688,199684
689,203169
690,205638
691,205845
692,193817
693,193838
694,192546
695,197895
696,182952
697,187164
698,181179
699,182961
700,155619
701,258757
702,288192
703,287252
704,304427
705,284325
706,211529
707,281890
708,271725
709,280270
710,217720
711,203655
712,214185
713,214332
714,293879
715,227962
716,224822
717,200179
718,201491
719,216573
720,210159
721,56000
722,217261
723,264934
724,220431
725,213101
726,207351
727,202429
728,203339
729,199477
730,208788
731,209066
732,212516
733,207611
734,209956
735,274697
736,279620
737,277317
738,279932
739,297944
740,279995
741,272327
742,278500
743,250863
744,285056
745,287615
746,288041
747,40000
748,251838
749,249987
750,251560
751,248708
752,245337
753,249430
754,192576
755,191851
756,197232
757,197099
758,175836
759,145865
760,178121
761,201436
762,197192
763,216173
764,199327
765,214628
766,211260
767,161685
768,211631
769,210587
770,213941
771,212404
772,204902
773,208137
774,213363
775,234127
776,272464
777,277682
778,290599
779,311699
780,261009
781,269918
782,322123
783,257179
784,256202
785,256205
786,257381
787,256014
788,252968
789,256090
790,260608
791,255897
792,256394
793,256023
794,193612
795,202070
796,201151
797,218935
798,222623
799,192741
800,189818
801,204318
802,191230
803,280360
804,279159
805,287299
806,286435
807,284210
808,275740
809,281403
810,273327
811,262595
812,262569
813,260770
814,259570
815,261695
816,262852
817,263705
818,265561
819,263443
820,264826
821,261102
822,269405
823,271759
824,267801
825,273105
826,193132
827,182229
828,198081
829,195498
830,197266
831,258621
832,257601
833,242779
834,233480
835,248792
836,242038
837,255791
838,92838
839,242955
840,274560
841,258628
842,273250
843,237065
844,262860
845,249842
846,211768
847,176938
848,256359
849,255838
850,255778
851,255786
852,256668
853,255773
854,255762
855,239283
856,274164
857,198063
858,216037
859,240993
860,219017
861,247478
862,213247
863,278940
864,284835
865,286742
866,282531
867,112711
868,112051
869,125050
870,113873
871,117972
872,115032
873,160140
874,171965
875,209308
876,200655
877,171259
878,170667
879,138715
880,137040
881,135726
882,159462
883,164024
884,187230
885,202599
886,116652
887,115964
888,158264
889,141237
890,150025
891,150155
892,112579
893,114835
894,156968
895,115433
896,243040
897,253564
898,241345
899,237383
900,184157
901,173037
902,177563
903,178918
904,197716
905,179086
906,167949
907,183212
908,159591
909,160743
910,144374
911,141799
912,161561
913,244469
914,230571
915,220279
916,219907
917,218008
918,217509
919,195838
920,227365
921,222292
922,248945
923,208347
924,218741
925,219287
926,233605
927,204014
928,210303
929,210101
930,209384
931,195911
932,216369
933,263977
934,265813
935,265056
936,264792
937,258298
938,263029
939,265496
940,52397
941,204102
942,195603
943,200352
944,198633
945,196169
946,193111
947,192948
948,190583
949,282334
950,240340
951,218099
952,218354
953,218891
954,217904
955,217816
956,220344
957,221267
958,217616
959,219313
960,221406
961,227205
962,218111
963,214744
964,223865
965,219370
966,223689
967,213465
968,214663
969,185962
970,185411
971,184144
972,184124
973,183680
974,185019
975,185193
976,185627
977,229397
978,219115
979,225790
980,225268
981,219436
982,228011
983,214782
984,220870
985,218551
986,224975
987,202470
988,201114
989,184200
990,223186
991,229106
992,221747
993,227806
994,223639
995,227869
996,305086
997,284961
998,290262
999,277085
1000,266282
1001,155460
1002,258913
1003,256860
1004,256419
1005,256750
1006,258883
1007,256161
1008,257934
1009,257339
1010,257060
1011,177927
1012,188776
1013,224621
1014,163676
1015,207338
1016,162829
1017,251297
1018,115527
1019,142668
1020,195441
1021,218640
1022,172542
1023,174376
1024,241404
1025,235143
1026,221837
1027,169829
1028,244939
1029,244554
1030,249176
1031,212422
1032,215387
1033,214911
1034,212808
1035,215704
1036,215632
1037,215604
1038,214536
1039,216201
1040,209494
1041,219327
1042,217477
1043,222437
1044,225150
1045,221336
1046,220788
1047,215742
1048,215398
1049,285216
1050,303787
1051,262147
1052,263210
1053,302016
1054,191433
1055,223589
1056,140034
1057,153186
1058,200817
1059,156263
1060,214221
1061,155492
1062,222009
1063,230893
1064,219589
1065,243438
1066,216265
1067,251450
1068,219066
1069,249382
1070,242258
1071,223088
1072,229516
1073,271787
1074,156829
1075,159042
1076,157978
1077,156976
1078,160629
1079,158993
1080,160162
1081,157361
1082,159907
1083,154174
1084,160579
1085,159272
1086,160077
1087,157279
1088,159868
1089,159873
1090,159733
1091,153619
1092,159374
1093,158885
1094,159123
1095,158955
1096,156441
1097,159753
1098,160006
1099,155931
1100,143927
1101,135727
1102,147729
1103,158995
1104,158224
1105,137980
1106,154197
1107,149146
1108,146620
1109,153212
1110,141919
1111,138122
1112,154049
1113,146578
1114,159813
1115,157294
1116,155788
1117,159643
1118,157749
1119,160152
1120,156132
1121,159279
1122,158866
1123,199123
1124,192393
1125,168545
1126,221165
1127,202400
1128,210633
1129,214479
1130,201372
1131,159064
1132,273721
1133,124794
1134,150107
1135,137297
1136,155087
1137,123606
1138,129495
1139,147805
1140,141502
1141,123093
1142,150950
1143,151912
1144,156965
1145,125114
1146,121916
1147,152320
1148,136633
1149,142470
1150,137706
1151,138398
1152,149854
1153,153032
1154,149758
1155,124619
1156,153633
1157,159940
1158,149671
1159,153426
1160,150997
1161,141127
1162,134019
1163,129093
1164,122940
1165,123261
1166,120079
1167,124116
1168,131323
1169,128033
1170,124417
1171,130556
1172,121039
1173,124138
1174,155625
1175,230347
1176,217469
1177,217525
1178,232316
1179,221763
1180,230500
1181,210853
1182,238157
1183,224366
1184,230766
1185,230606
1186,212478
1187,250204
1188,210829
1189,226158
1190,222591
1191,225674
1192,215390
1193,237267
1194,163464
1195,166710
1196,186406
1197,185506
1198,190357
1199,189640
1200,189940
1201,191863
1202,182504
1203,238955
1204,249198
1205,234491
1206,169726
1207,318694
1208,319968
1209,320877
1210,322541
1211,318776
1212,310766
1213,318856
1214,319719
1215,318668
1216,319029
1217,318365
1218,319895
1219,315389
1220,318045
1221,319410
1222,307718
1223,320219
1224,227616
1225,307392
1226,300560
1227,287918
1228,286756
1229,257606
1230,298683
1231,268042
1232,293097
1233,294129
1234,245052
1235,235665
1236,298775
1237,276747
1238,291019
1239,299058
1240,289603
1241,270221
1242,253220
1243,218277
1244,253004
1245,164561
1246,169521
1247,144000
1248,272872
1249,259466
1250,256677
1251,255315
1252,252693
1253,256769
1254,255731
1255,259659
1256,259678
1257,256388
1258,255338
1259,261685
1260,264554
1261,253744
1262,277028
1263,255899
1264,256131
1265,256246
1266,255957
1267,256282
1268,255908
1269,255785
1270,256334
1271,250928
1272,254463
1273,254774
1274,254290
1275,250864
1276,254609
1277,255188
1278,253662
1279,253589
1280,255172
1281,225764
1282,246750
1283,249679
1284,239117
1285,215403
1286,235785
1287,206284
1288,262695
1289,211257
1290,238355
1291,216531
1292,267381
1293,225296
1294,253322
1295,225782
1296,217808
1297,275107
1298,209831
1299,231199
1300,245160
1301,217233
1302,237495
1303,259370
1304,269463
1305,258073
1306,187125
1307,219467
1308,239080
1309,208086
1310,216692
1311,197333
1312,196054
1313,190137
1314,193477
1315,213825
1316,178837
1317,206923
1318,162483
1319,191414
1320,184166
1321,185366
1322,175055
1323,153473
1324,164993
1325,169479
1326,165319
1327,161076
1328,165234
1329,165535
1330,151429
1331,161557
1332,224194
1333,184152
1334,171898
1335,196040
1336,225116
1337,205226
1338,198884
1339,168490
1340,179060
1341,153952
1342,175160
1343,252569
1344,323488
1345,320934
1346,319918
1347,321216
1348,320522
1349,320061
1350,319855
1351,319806
1352,129104
1353,191907
1354,188077
1355,187213
1356,193049
1357,214932
1358,203142
1359,158990
1360,173187
1361,182773
1362,159518
1363,181323
1364,186161
1365,232179
1366,184979
1367,188716
1368,187340
1369,183551
1370,203792
1371,180273
1372,197607
1373,169111
1374,184718
1375,180344
1376,160348
1377,173660
1378,176778
1379,206056
1380,188545
1381,153638
1382,170010
1383,178203
1384,194383
1385,155294
1386,54678
1387,177349
1388,179669
1389,182672
1390,195387
1391,192078
1392,187545
1393,208180
1394,183030
1395,195367
1396,197066
1397,225858
1398,206898
1399,213309
1400,217886
1401,239131
1402,247968
1403,243765
1404,243296
1405,226186
1406,250535
1407,236367
1408,217472
1409,235982
1410,233326
1411,230784
1412,236452
1413,249169
1414,225267
1415,247078
1416,207571
1417,244338
1418,248717
1419,222733
1420,246195
1421,255037
1422,197323
1423,242594
1424,250092
1425,219301
1426,199311
1427,187794
1428,255738
1429,254942
1430,254267
1431,255363
1432,204171
1433,219199
1434,223326
1435,247509
1436,217308
1437,228794
1438,214212
1439,192483
1440,202521
1441,155773
1442,155211
1443,151185
1444,158656
1445,154799
1446,200333
1447,206964
1448,199842
1449,204997
1450,214427
1451,192285
1452,184338
1453,202985
1454,256019
1455,255734
1456,255827
1457,255741
1458,255677
1459,255805
1460,256480
1461,256459
1462,255322
1463,255894
1464,173443
1465,128252
1466,193219
1467,130456
1468,128106
1469,178512
1470,178163
1471,178059
1472,206227
1473,218137
1474,210343
1475,209336
1476,195068
1477,200873
1478,235612
1479,211042
1480,250234
1481,222737
1482,212336
1483,222139
1484,225192
1485,225493
1486,213532
1487,216534
1488,228936
1489,211445
1490,237865
1491,240074
1492,234992
1493,235616
1494,271342
1495,233018
1496,193644
1497,312797
1498,259330
1499,260125
1500,229810
1501,265217
1502,260212
1503,232165
1504,218680
1505,235401
1506,229557
1507,180311
1508,263747
1509,260829
1510,228508
1511,229929
1512,250086
1513,249923
1514,249224
1515,243871
1516,249431
1517,197806
1518,153188
1519,209597
1520,163061
1521,192519
1522,174226
1523,292582
1524,169089
1525,242403
1526,238391
1527,247320
1528,250266
1529,248026
1530,249791
1531,251978
1532,239364
1533,246632
1534,240874
1535,239694
1536,238995
1537,215424
1538,228287
1539,214844
1540,219019
1541,236647
1542,239860
1543,239922
1544,239018
1545,239729
1546,240986
1547,237966
1548,239388
1549,241086
1550,241988
1551,240778
1552,238354
1553,243277
1554,224835
1555,240102
1556,239832
1557,226466
1558,238219
1559,239203
1560,240307
1561,239133
1562,237824
1563,238480
1564,239588
1565,237209
1566,241741
1567,239092
1568,217023
1569,243794
1570,241200
1571,248377
1572,246384
1573,243529
1574,244440
1575,249507
1576,246688
1577,246055
1578,245248
1579,276719
1580,276180
1581,265278
1582,270122
1583,266270
1584,261156
1585,258470
1586,259293
1587,263876
1588,266926
1589,259879
1590,261347
1591,258067
1592,263532
1593,270804
1594,266677
1595,275344
1596,236281
1597,270207
1598,257092
1599,243646
1600,246957
1601,245520
1602,267070
1603,269588
1604,172516
1605,189503
1606,229121
1607,210475
1608,192690
1609,227144
1610,207726
1611,188122
1612,191705
1613,147876
1614,175543
1615,318002
1616,320358
1617,286651
1618,148591
1619,219785
1620,142289
1621,183480
1622,198898
1623,192663
1624,187007
1625,197446
1626,191255
1627,187284
1628,196111
1629,191379
1630,198752
1631,217691
1632,232723
1633,196190
1634,211729
1635,189735
1636,256420
1637,250139
1638,257910
1639,191141
1640,217838
1641,202825
1642,221628
1643,219305
1644,200547
1645,214380
1646,211394
1647,222461
1648,212582
1649,201445
1650,251068
1651,250772
1652,251679
1653,249850
1654,247393
1655,252659
1656,239330
1657,228510
1658,287849
1659,289785
1660,289893
1661,85153
1662,117902
1663,114799
1664,105520
1665,125732
1666,100620
1667,150342
1668,105474
1669,122757
1670,66881
1671,106929
1672,121657
1673,122528
1674,135978
1675,134000
1676,126154
1677,97682
1678,111985
1679,123774
1680,134258
1681,81945
1682,107706
1683,88125
1684,81665
1685,90015
1686,84808
1687,141378
1688,86457
1689,96310
1690,85879
1691,81059
1692,76416
1693,78459
1694,78735
1695,78802
1696,79327
1697,80340
1698,76218
1699,80486
1700,78618
1701,75586
1702,82163
1703,75456
1704,78196
1705,83209
1706,145365
1707,86436
1708,76474
1709,124782
1710,120416
1711,104568
1712,119207
1713,155801
1714,119591
1715,101763
1716,167914
1717,84924
1718,92307
1719,90956
1720,90802
1721,88336
1722,105972
1723,93658
1724,98568
1725,89123
1726,94653
1727,97461
1728,99882
1729,88734
1730,92467
1731,92084
1732,92138
1733,95495
1734,92395
1735,94405
1736,86376
1737,87797
1738,87093
1739,87210
1740,91205
1741,84237
1742,208602
1743,228476
1744,96650
1745,8000
1746,159034
1747,115292
1748,106990
1749,138309
1750,320703
1751,320617
1752,320616
1753,318329
1754,318043
1755,318149
1756,320443
1757,319914
1758,319555
1759,319881
1760,321044
1761,312153
1762,321866
1763,204506
1764,230254
1765,199354
1766,186339
1767,193379
1768,217421
1769,196035
1770,193192
1771,171659
1772,168183
1773,183338
1774,187278
1775,166346
1776,188244
1777,169097
1778,162169
1779,170874
1780,264294
1781,264438
1782,260222
1783,265442
1784,103522
1785,150963
1786,144566
1787,172702
1788,164231
1789,184533
1790,147895
1791,168228
1792,177935
1793,131176
1794,149035
1795,100464
1796,199476
1797,272582
1798,276488
1799,212167
1800,203389
1801,221751
1802,210446
1803,203715
1804,199655
1805,214915
1806,189294
1807,212331
1808,198271
1809,173578
1810,235338
1811,201926
1812,210530
1813,215328
1814,206632
1815,198900
1816,210229
1817,179019
1818,253881
1819,254730
1820,245557
1821,256620
1822,253950
1823,240438
1824,252018
1825,223294
1826,251742
1827,253374
1828,254836
1829,253064
1830,255089
1831,253418
1832,249203
1833,254309
1834,253314
1835,160171
1836,212960
1837,187846
1838,163888
1839,189165
1840,164806
1841,179442
1842,229388
1843,205065
1844,162738
1845,168874
1846,195818
1847,247138
1848,245197
1849,245902
1850,251097
1851,250057
1852,248944
1853,251571
1854,248412
1855,245303
1856,248237
1857,248556
1858,249117
1859,246393
1860,244505
1861,234765
1862,252783
1863,256367
1864,96288
1865,93955
1866,100863
1867,100465
1868,92573
1869,94012
1870,101097
1871,88706
1872,89816
1873,90901
1874,291770
1875,294083
1876,288074
1877,300124
1878,288345
1879,293022
1880,290370
1881,266546
1882,289425
1883,264798
1884,200150
1885,241199
1886,252761
1887,256491
1888,250675
1889,253556
1890,256916
1891,243189
1892,259504
1893,257121
1894,250965
1895,255222
1896,253426
1897,248462
1898,260988
1899,248223
1900,249544
1901,256020
1902,282971
1903,249007
1904,209047
1905,177585
1906,185576
1907,181805
1908,263110
1909,179206
1910,182794
1911,164543
1912,150499
1913,160161
1914,194434
1915,225813
1916,106140
1917,110462
1918,97041
1919,145092
1920,120818
1921,161239
1922,115354
1923,140914
1924,121754
1925,139200
1926,130818
1927,146135
1928,153499
1929,118616
1930,93948
1931,259892
1932,174482
1933,222039
1934,243434
1935,250307
1936,251093
1937,248688
1938,251040
1939,249853
1940,251222
1941,246736
1942,252217
1943,248917
1944,250082
1945,248957
1946,247443
1947,252788
1948,245527
1949,250533
1950,245686
1951,248959
1952,246811
1953,245581
1954,250287
1955,251129
1956,249785
1957,233745
1958,252328
1959,260707
1960,253900
1961,255622
1962,251823
1963,254852
1964,250354
1965,253706
1966,254342
1967,251699
1968,247013
1969,253527
1970,249819
1971,245880
1972,248806
1973,246903
1974,253560
1975,248097
1976,250183
1977,250523
1978,246345
1979,250032
1980,250694
1981,251881
1982,248480
1983,249236
1984,249767
1985,247785
1986,287340
1987,261658
1988,235637
1989,252950
1990,284494
1991,178020
1992,273320
1993,247625
1994,250976
1995,250066
1996,252371
1997,248294
1998,253517
1999,250876
2000,249429
2001,249658
2002,250746
2003,253903
2004,247839
2005,250594
2006,320496
2007,319549
2008,321391
2009,321218
2010,320729
2011,308852
2012,312541
2013,320242
2014,320164
2015,320461
2016,320430
2017,315666
2018,255500
2019,319707
2020,319383
2021,317186
2022,320112
2023,320184
2024,320902
2025,320981
2026,324221
2027,320881
2028,321550
2029,321231
2030,321276
2031,320908
2032,320906
2033,320017
2034,320084
2035,320146
2036,320104
2037,320838
2038,320317
2039,320764
2040,287552
2041,24000
2042,256052
2043,189781
2044,123435
2045,164509
2046,218606
2047,248689
2048,234678
2049,236806
2050,229591
2051,224955
2052,245070
2053,232272
2054,236317
2055,238256
2056,204015
2057,240167
2058,235010
2059,237343
2060,193406
2061,193142
2062,192090
2063,195811
2064,143154
2065,155130
2066,164957
2067,139145
2068,126156
2069,167943
2070,165474
2071,184714
2072,151053
2073,185500
2074,153950
2075,173570
2076,264491
2077,261207
2078,265795
2079,279392
2080,266794
2081,265435
2082,264314
2083,266514
2084,264559
2085,266825
2086,262876
2087,263246
2088,273455
2089,261437
2090,268208
2091,267046
2092,267542
2093,283081
2094,271067
2095,266654
2096,274298
2097,274668
2098,268433
2099,271296
2100,272224
2101,269281
2102,270283
2103,272509
2104,113229
2105,117927
2106,116057
2107,203939
2108,160467
2109,162450
2110,178225
2111,168497
2112,158936
2113,177612
2114,159162
2115,206413
2116,218529
2117,204528
2118,183559
2119,160888
2120,155342
2121,212196
2122,187947
2123,211797
2124,182808
2125,159910
2126,221092
2127,199188
2128,161246
2129,159927
2130,197461
2131,186292
2132,201152
2133,291867
2134,245271
2135,278883
2136,186638
2137,259210
2138,260753
2139,225680
2140,262702
2141,253992
2142,278932
2143,273748
2144,261889
2145,269904
2146,255754
2147,255857
2148,255756
2149,255758
2150,256051
2151,256095
2152,225616
2153,263222
2154,236567
2155,223972
2156,217619
2157,235440
2158,172142
2159,416000
2160,110057
2161,115019
2162,105073
2163,109279
2164,100791
2165,151127
2166,110170
2167,110251
2168,118217
2169,275922
2170,219047
2171,256184
2172,255976
2173,256201
2174,256264
2175,256150
2176,238057
2177,228253
2178,191175
2179,189551
2180,195081
2181,186263
2182,151296
2183,142989
2184,145679
2185,140058
2186,157505
2187,168192
2188,208989
2189,189012
2190,210659
2191,185724
2192,208528
2193,174052
2194,201754
2195,176308
2196,195091
2197,174651
2198,279537
2199,267290
2200,275939
2201,281805
2202,292168
2203,261031
2204,257769
2205,256869
2206,264164
2207,258813
2208,259307
2209,257110
2210,259369
2211,258595
2212,201535
2213,205114
2214,201613
2215,201194
2216,200440
2217,198734
2218,200089
2219,201508
2220,200235
2221,201202
2222,192926
2223,193970
2224,147218
2225,129222
2226,158435
2227,130285
2228,284576
2229,282175
2230,286033
2231,290368
2232,288863
2233,275103
2234,285418
2235,196580
2236,261459
2237,158149
2238,163225
2239,266012
2240,91660
2241,99396
2242,256739
2243,320198
2244,280301
2245,200971
2246,176738
2247,179639
2248,170348
2249,163003
2250,178881
2251,190336
2252,220646
2253,185254
2254,168335
2255,188107
2256,199325
2257,102843
2258,185486
2259,192661
2260,224295
2261,253478
2262,181070
2263,200022
2264,213108
2265,199231
2266,169687
2267,171778
2268,163461
2269,156476
2270,192240
2271,222210
2272,146659
2273,167445
2274,193625
2275,103098
2276,115656
2277,117572
2278,115491
2279,111464
2280,109490
2281,120843
2282,106822
2283,321934
2284,223967
2285,262002
2286,253306
2287,250574
2288,250285
2289,253539
2290,252897
2291,254150
2292,85075
2293,161915
2294,293925
2295,174863
2296,182127
2297,179510
2298,177530
2299,190034
2300,189643
2301,189934
2302,162602
2303,187927
2304,135115
2305,135647
2306,135133
2307,134324
2308,136603
2309,134617
2310,137311
2311,138326
2312,134573
2313,141640
2314,137423
2315,310281
2316,309075
2317,309750
2318,300816
2319,309272
2320,255911
2321,256119
2322,256179
2323,255719
2324,192970
2325,259557
2326,255261
2327,161874
2328,237518
2329,233933
2330,256044
2331,256380
2332,256439
2333,255728
2334,257186
2335,255922
2336,256086
2337,291359
2338,294486
2339,304203
2340,288914
2341,294012
2342,286204
2343,300192
2344,301704
2345,200002
2346,243664
2347,269045
2348,256983
2349,211428
2350,172300
2351,243729
2352,240026
2353,247962
2354,273408
2355,269577
2356,242608
2357,281311
2358,256836
2359,274227
2360,252202
2361,249952
2362,231827
2363,256530
2364,250600
2365,254797
2366,248051
2367,240373
2368,263465
2369,258197
2370,276644
2371,256852
2372,231360
2373,163564
2374,299907
2375,310380
2376,282989
2377,191772
2378,191702
2379,191694
2380,191936
2381,191768
2382,191656
2383,219077
2384,194390
2385,199644
2386,198140
2387,205177
2388,199698
2389,86203
2390,289815
2391,255482
2392,222514
2393,199396
2394,298323
2395,276650
2396,302074
2397,301928
2398,234706
2399,448000
2400,255612
2401,255851
2402,255855
2403,255771
2404,170318
2405,186071
2406,156980
2407,194374
2408,168265
2409,112240
2410,143918
2411,188377
2412,259583
2413,276798
2414,136006
2415,161054
2416,192054
2417,185826
2418,190516
2419,167725
2420,180008
2421,139538
2422,166830
2423,199767
2424,162665
2425,187725
2426,162766
2427,180225
2428,134392
2429,286326
2430,239238
2431,234065
2432,197616
2433,229708
2434,203016
2435,221255
2436,163476
2437,205145
2438,192585
2439,244613
2440,174124
2441,179992
2442,173700
2443,174152
2444,177108
2445,201312
2446,255536
2447,316312
2448,315771
2449,315841
2450,315165
2451,313490
2452,318246
2453,314498
2454,312701
2455,315122
2456,313542
2457,315148
2458,309757
2459,309133
2460,317961
2461,312426
2462,300226
2463,321433
2464,316834
2465,314758
2466,319527
2467,319441
2468,319966
2469,319085
2470,318636
2471,319248
2472,319871
2473,320419
2474,319635
2475,320503
2476,320694
2477,320531
2478,315286
2479,315215
2480,316117
2481,315911
2482,314143
2483,316623
2484,315913
2485,316709
2486,315121
2487,313275
2488,318655
2489,314452
2490,310282
2491,314121
2492,315829
2493,314397
2494,314267
2495,313868
2496,314993
2497,314437
2498,315665
